'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ARGYLE AERODROME Western Australia for May 2017,,,,,,,,,,
Issued at 06:30 GMT on Thursday 01 June 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ARGYLE AERODROME,01/05/2017,5.5,0.0, ,32.5,22.7,49,15,2.39,20.33
ARGYLE AERODROME,02/05/2017,4.7,0.0, ,32.3,20.1,61,27,1.93,20.14
ARGYLE AERODROME,03/05/2017,5.8,0.0, ,32.1,20.5,61,19,2.93,20.99
ARGYLE AERODROME,04/05/2017,5.1,0.0, ,31.7,19.0,51,21,2.29,20.89
ARGYLE AERODROME,05/05/2017, ,0.0, , ,18.6,51,22,2.37,20.77
ARGYLE AERODROME,06/05/2017, , , ,35.0, ,100,19,2.68,20.67
ARGYLE AERODROME,07/05/2017,6.0,0.0, ,35.3,22.0,55,18,2.85,19.88
ARGYLE AERODROME,08/05/2017,6.9,0.0, ,34.0,20.4,44,18,3.93,19.78
ARGYLE AERODROME,09/05/2017, ,0.0, ,32.5,19.2, , , ,20.34
ARGYLE AERODROME,10/05/2017,5.7,0.0, ,31.3,17.3,55,14,3.03,20.25
ARGYLE AERODROME,11/05/2017, ,0.0, , ,16.5,50,14,2.34,20.16
ARGYLE AERODROME,12/05/2017, , , ,31.5, , , , ,20.07
ARGYLE AERODROME,13/05/2017,4.8,0.0, ,32.3,16.2,100,16,2.37,19.69
ARGYLE AERODROME,14/05/2017,4.9,0.0, ,32.2,18.1,100,18,2.57,19.42
ARGYLE AERODROME,15/05/2017,4.7,0.0, ,32.3,16.0,100,14,2.15,19.77
ARGYLE AERODROME,16/05/2017,5.1,0.0, ,33.1,15.4,58,18,2.43,19.50
ARGYLE AERODROME,17/05/2017,4.9,0.0, ,34.3,18.3,62,21,2.13,19.57
ARGYLE AERODROME,18/05/2017,5.4,0.0, ,33.3,19.2,51,19,2.64,19.56
ARGYLE AERODROME,19/05/2017,5.1,0.0, ,32.8,18.2,50,14,2.37,19.50
ARGYLE AERODROME,20/05/2017, ,0.0, , ,16.2,54,12,2.30,19.41
ARGYLE AERODROME,21/05/2017, , , ,33.6, , , , ,19.31
ARGYLE AERODROME,22/05/2017,4.7,0.0, ,34.2,22.4,66,34,2.28,17.79
ARGYLE AERODROME,23/05/2017,5.0,0.0, ,35.2,22.7,71,23,2.23,19.16
ARGYLE AERODROME,24/05/2017,5.8,0.0, ,35.2,21.0,50,12,2.74,19.11
ARGYLE AERODROME,25/05/2017, ,0.0, , ,19.8,50,27,2.59,19.03
ARGYLE AERODROME,26/05/2017, , , , , ,53,25,2.49,18.96
ARGYLE AERODROME,27/05/2017, , , ,32.8, , , , ,18.89
ARGYLE AERODROME,28/05/2017,4.1,0.0, ,32.3,18.9,100,17,2.24,14.63
ARGYLE AERODROME,29/05/2017,5.3,0.0, ,32.2,21.5,42,16,2.76,17.71
ARGYLE AERODROME,30/05/2017, ,0.0, ,31.6,17.2, , , ,18.34
ARGYLE AERODROME,31/05/2017, ,0.0, ,29.5,18.8, , , ,18.66
Totals:,,99.5,0, ,,,,,, 
