'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORREST Western Australia for April 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 28 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORREST,01/04/2011,4.7,0.0, ,23.4,8.4,94,43,5.68,23.73
FORREST,02/04/2011,5.1,0.0, ,23.4,14.7,84,40,6.58,22.49
FORREST,03/04/2011,5.7,0.0, ,25.8,9.5,95,32,6.36,23.50
FORREST,04/04/2011,6.3,0.0, ,26.9,11.4,97,22,6.16,23.46
FORREST,05/04/2011,5.7,0.0, ,27.0,9.4,98,22,4.63,23.36
FORREST,06/04/2011,6.5,0.0, ,30.0,8.0,87,15,4.21,23.27
FORREST,07/04/2011,8.4,0.0, ,32.2,9.4,67,18,6.59,22.58
FORREST,08/04/2011,5.0,0.0, ,24.5,17.2,90,35,5.64,21.02
FORREST,09/04/2011,4.6,0.0, ,22.0,10.0,90,35,5.85,21.64
FORREST,10/04/2011,4.0,0.0, ,21.1,8.8,84,37,4.62,18.94
FORREST,11/04/2011,3.8,0.0, ,21.3,11.3,80,35,3.10,20.78
FORREST,12/04/2011,3.6,0.4, ,24.9,10.4,98,42,4.33,12.25
FORREST,13/04/2011,3.4,1.4, ,24.1,9.8,98,51,3.60,18.21
FORREST,14/04/2011,3.7,0.0, ,23.1,12.8,98,49,5.12,17.96
FORREST,15/04/2011,4.0,0.0, ,23.7,9.7,98,41,4.49,19.45
FORREST,16/04/2011,4.1,0.0, ,24.6,8.3,97,39,3.92,20.43
FORREST,17/04/2011,4.3,0.0, ,27.3,8.2,98,30,2.81,20.79
FORREST,18/04/2011,5.5,0.0, ,30.0,9.4,83,24,4.10,19.00
FORREST,19/04/2011,3.5,0.0, ,25.5,16.3,98,53,4.58,16.02
FORREST,20/04/2011,3.7,0.0, ,24.1,11.9,96,46,3.77,19.59
FORREST,21/04/2011,3.3,0.0, ,22.8,8.3,91,35,2.20,19.95
FORREST,22/04/2011,3.0,0.0, ,22.6,8.9,98,44,2.28,18.96
FORREST,23/04/2011,4.7,0.0, ,26.8,6.9,97,25,3.98,19.34
FORREST,24/04/2011,6.0,0.0, ,30.9,9.1,79,14,4.06,19.30
FORREST,25/04/2011,6.1,0.0, ,31.3,9.8,70,15,4.01,19.47
FORREST,26/04/2011,5.9,0.0, ,29.8,10.0,68,19,4.52,18.59
FORREST,27/04/2011, ,0.0, , ,11.1, , , ,18.77
Totals:,,124.6,1.8, ,,,,,, 
