'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH ISLAND Western Australia for February 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 March 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH ISLAND,01/02/2013, ,0.0, ,34.4,24.3, , , , 
NORTH ISLAND,02/02/2013, ,0.0, ,34.4,24.2, , , , 
NORTH ISLAND,03/02/2013, , , ,29.1,20.9, , , , 
NORTH ISLAND,04/02/2013, ,0.0, ,28.5,22.3,91,68,7.14, 
NORTH ISLAND,05/02/2013, ,0.0, ,29.1,22.4,89,64,9.87, 
NORTH ISLAND,06/02/2013, ,0.0, ,27.4,22.7,83,66,11.32, 
NORTH ISLAND,07/02/2013, ,0.0, ,28.0,21.7,81,57,11.77, 
NORTH ISLAND,08/02/2013, ,0.0, ,29.9,22.8,84,57,10.78, 
NORTH ISLAND,09/02/2013, ,0.0, ,34.0,24.1,89,49,6.53, 
NORTH ISLAND,10/02/2013, ,0.0, ,32.3,21.6,91,60,3.62, 
NORTH ISLAND,11/02/2013, ,0.0, ,31.4,21.2,99,73,3.49, 
NORTH ISLAND,12/02/2013, ,0.0, ,30.7,21.8, , , , 
NORTH ISLAND,13/02/2013, ,0.0, ,30.5,23.5,100,95,6.31, 
NORTH ISLAND,14/02/2013, ,0.0, ,29.6,24.0,100,95,8.54, 
NORTH ISLAND,15/02/2013, ,0.0, ,29.3,22.9,100,91,8.85, 
NORTH ISLAND,16/02/2013, , , ,28.9,23.3,100,91,9.06, 
NORTH ISLAND,17/02/2013, ,0.0, ,27.9,22.6,100,78,10.65, 
NORTH ISLAND,18/02/2013, ,0.0, ,28.0,21.2,97,73,12.26, 
NORTH ISLAND,19/02/2013, ,0.0, ,31.6,22.9,97,75,7.02, 
NORTH ISLAND,20/02/2013, ,0.0, ,36.7,24.4,100,57,4.23, 
NORTH ISLAND,21/02/2013, ,0.0, ,32.3,23.2, , , , 
NORTH ISLAND,22/02/2013, ,0.0, ,29.0,23.1,100,86,8.18, 
NORTH ISLAND,23/02/2013, ,0.0, ,26.9,20.9,94,69,10.46, 
NORTH ISLAND,24/02/2013, ,0.0, ,27.2,20.9,98,78,10.69, 
NORTH ISLAND,25/02/2013, ,0.0, ,28.9,22.3,100,76,10.56, 
NORTH ISLAND,26/02/2013, ,0.0, , ,23.9, , , , 
NORTH ISLAND,27/02/2013, , , ,31.3, , , , , 
NORTH ISLAND,28/02/2013, ,0.0, ,31.7,24.8, , , , 
Totals:,, ,0, ,,,,,, 
