'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH ISLAND Western Australia for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH ISLAND,01/12/2013, ,0.2, ,26.0,18.9,56,41,7.87, 
NORTH ISLAND,02/12/2013, ,0.0, ,25.5,19.0,57,33,10.24, 
NORTH ISLAND,03/12/2013, ,0.0, ,25.0,18.7,58,44,13.18, 
NORTH ISLAND,04/12/2013, ,0.0, ,26.7,19.2,49,37,13.02, 
NORTH ISLAND,05/12/2013, ,0.0, ,30.8,20.9,100,15,7.83, 
NORTH ISLAND,06/12/2013, , , ,27.2, ,100,2,2.96, 
NORTH ISLAND,07/12/2013, , , ,25.6, ,100,3,5.56, 
NORTH ISLAND,08/12/2013, ,0.0, ,25.5,19.4,26,4,9.48, 
NORTH ISLAND,09/12/2013, ,0.0, ,25.1,19.1,25,1,11.30, 
NORTH ISLAND,10/12/2013, ,1.6, ,26.5,19.8,25,1,10.14, 
NORTH ISLAND,11/12/2013, , , ,30.0, , , , , 
NORTH ISLAND,12/12/2013, , , ,33.2,22.3, , , , 
NORTH ISLAND,13/12/2013, ,0.0, ,33.2,22.9,100,21,4.85, 
NORTH ISLAND,14/12/2013, , , ,29.0, , , , , 
NORTH ISLAND,15/12/2013, , , , , , , , , 
NORTH ISLAND,16/12/2013, , , , , ,100,1,4.76, 
NORTH ISLAND,17/12/2013, ,0.0, ,28.4, ,64,2,6.71, 
NORTH ISLAND,18/12/2013, ,0.0, ,27.4,21.1,65,52,8.85, 
NORTH ISLAND,19/12/2013, ,0.0, ,27.8,20.1,68,59,9.12, 
NORTH ISLAND,20/12/2013, ,0.0, ,26.2,20.9,71,42,10.90, 
NORTH ISLAND,21/12/2013, ,0.0, ,27.3,21.3,73,53,10.86, 
NORTH ISLAND,22/12/2013, ,0.0, ,28.9,21.1,73,56,10.01, 
NORTH ISLAND,23/12/2013, ,0.0, ,28.8,21.5, , , , 
NORTH ISLAND,24/12/2013, ,0.0, ,28.3,22.1, , , , 
NORTH ISLAND,25/12/2013, ,0.0, , ,20.9,74,63,8.86, 
NORTH ISLAND,26/12/2013, , , ,27.4, , , , , 
NORTH ISLAND,27/12/2013, ,0.0, ,27.4,20.4,75,64,8.93, 
NORTH ISLAND,28/12/2013, ,0.0, ,28.4,20.9,75,63,10.24, 
NORTH ISLAND,29/12/2013, ,0.0, , ,21.1,75,64,11.01, 
NORTH ISLAND,30/12/2013, , , ,26.0, ,75,64,8.88, 
NORTH ISLAND,31/12/2013, ,0.0, ,26.0,20.6,72,62,9.54, 
Totals:,, ,1.8, ,,,,,, 
