,Date,Max Operation Demand (MW),Max Temp,Min Temp,Max Hum,Min Hum,Av Wind,Solar Rad
0,2009-01-01,2543.14,37.2,18.8,65,20,6.1,34.01
1,2009-01-02,2893.868,36.1,21.9,70,25,5.31,34.25
2,2009-01-03,2450.92,34.4,20.3,79,29,5.45,34.11
3,2009-01-04,2526.302,36.5,18.5,62,20,5.25,34.05
4,2009-01-05,3106.014,37.2,21.8,63,17,6.77,34.18
5,2009-01-06,3019.166,36.4,19.7,73,26,5.42,33.82
6,2009-01-07,3022.304,36.3,18.9,63,21,5.83,33.85
7,2009-01-08,3075.148,37.2,20.3,60,24,5.19,33.96
8,2009-01-09,3072.34,37.1,19.1,67,27,5.28,34.4
9,2009-01-10,2650.1,35.7,20.5,58,20,5.23,34.29
10,2009-01-11,2827.358,39.1,21.2,60,12,4.84,34.25
11,2009-01-12,2621.386,28.4,13.5,91,43,6.58,29.12
12,2009-01-13,2303.63,26.9,10.3,93,27,4.88,32.17
13,2009-01-14,2456.842,31.7,14.6,71,23,5.34,31.29
14,2009-01-15,3199.356,39.8,19.0,56,13,7.64,33.39
15,2009-01-16,3399.23,43.0,22.5,80,9,6.51,33.38
16,2009-01-17,2386.164,32.6,17.9,82,31,4.93,24.91
17,2009-01-18,2251.876,33.5,21.9,55,28,5.1,18.75
18,2009-01-19,2487.132,30.0,15.7,90,34,6.83,31.88
19,2009-01-20,2413.006,30.1,15.5,76,24,5.76,33.27
20,2009-01-21,2435.442,27.3,15.4,84,41,5.94,32.51
21,2009-01-22,2486.548,28.7,18.7,90,48,5.66,29.24
22,2009-01-23,2541.034,28.9,20.0,82,46,5.59,30.96
23,2009-01-24,2260.646,31.0,13.1,97,23,3.99,33.12
24,2009-01-25,2487.13,38.6,17.0,81,18,4.78,32.74
25,2009-01-26,2342.598,30.8,17.5,93,40,4.63,32.05
26,2009-01-27,2833.792,34.5,17.1,84,34,5.24,26.57
27,2009-01-28,2685.114,31.2,21.7,80,49,5.18,20.77
28,2009-01-29,2331.798,25.6,19.7,77,53,5.38,13.39
29,2009-01-30,2559.52,32.1,18.9,80,43,3.5,20.46
30,2009-01-31,2933.326,35.1,21.6,72,39,5.52,24.76
31,2009-02-01,2982.178,37.4,23.3, , , ,30.14
32,2009-02-02,3507.192,39.1,21.0,93,20,4.36,30.87
33,2009-02-03,3144.224,32.7,18.6,96,32,4.11,31.03
34,2009-02-04,2742.28,33.3,20.4,75,29,6.51,30.67
35,2009-02-05,2625.64,33.2,17.3,64,25,6.30,30.18
36,2009-02-06,2310.464,27.0,15.2,74,35,7.87,29.68
37,2009-02-07,1921.682,27.3,9.4,89,29,5.05,30.61
38,2009-02-08,2283.386,32.9,15.4,55,14,6.74,31.25
39,2009-02-09,2949.722,34.6,17.6,57,11,8.58,31.23
40,2009-02-10,3208.718,36.8,19.7,55,12,7.73,30.18
41,2009-02-11,3509.086,39.2,23.0,39,9,5.13,30.47
42,2009-02-12,3173.692,39.5,22.3,53,8,6.61,24.28
43,2009-02-13,2604.576,28.1,21.7,74,43,6.97,19.16
44,2009-02-14,2053.042,29.1,18.8,75,33,5.80,8.31
45,2009-02-15,2446.08,32.4,15.9,94,28,3.54,28.49
46,2009-02-16,2507.102,27.5,18.2,93,39,6.01,26.00
47,2009-02-17,2533.64,31.9,16.0,74,25,5.57, 
48,2009-02-18,2561.89,32.0,17.4,64,19,6.39, 
49,2009-02-19,2705.774,33.8,16.7,60,20,6.26,29.55
50,2009-02-20,3075.86,36.4,18.4,62,17,7.80,29.47
51,2009-02-21,2985.014,39.9,21.0,50,15,6.26,22.06
52,2009-02-22,2297.162,31.7,20.0,69,30,6.10,27.53
