'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for February 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 March 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/02/2011,5.9,9.0, ,35.0,23.8,97,57,5.30,21.00
KARRATHA AERO,02/02/2011,6.9,0.0, ,33.7,29.7,86,59,4.72,26.39
KARRATHA AERO,03/02/2011,7.3,0.0, ,34.7,29.2,83,61,4.17,28.90
KARRATHA AERO,04/02/2011,7.8,0.0, ,35.5,27.4,78,50,4.32,29.25
KARRATHA AERO,05/02/2011,7.7,0.0, ,37.9,30.2,82,46,4.28,25.16
KARRATHA AERO,06/02/2011,5.6,20.2, ,32.2,23.4,95,62,7.39,20.97
KARRATHA AERO,07/02/2011,4.4,14.4, ,31.3,23.7,95,72,6.06,17.67
KARRATHA AERO,08/02/2011,7.0,1.6, ,33.6,25.3,95,48,3.78,29.22
KARRATHA AERO,09/02/2011,6.3,0.0, ,33.6,26.4,88,64,7.29,23.12
KARRATHA AERO,10/02/2011,5.8,7.6, ,32.3,26.3,95,70,8.94,24.52
KARRATHA AERO,11/02/2011,6.5,2.4, ,33.2,26.5,88,55,3.95,26.26
KARRATHA AERO,12/02/2011,5.7,0.0, ,33.4,26.7,92,55,4.71,20.25
KARRATHA AERO,13/02/2011,6.7,11.4, ,33.4,23.9,94,61,6.16,28.43
KARRATHA AERO,14/02/2011,6.5,0.0, ,33.1,26.4,87,63,6.98,24.36
KARRATHA AERO,15/02/2011,2.3,79.4, ,27.7,24.5,98,78,8.89,5.35
KARRATHA AERO,16/02/2011,1.9,60.4, ,28.4,24.9,97,86,5.79,6.24
KARRATHA AERO,17/02/2011, ,27.2, , ,24.8,98,71,5.69,23.35
KARRATHA AERO,18/02/2011, , , ,32.4, , , , ,27.26
KARRATHA AERO,19/02/2011,6.3,1.8, ,32.6,26.7,92,61,4.16,27.13
KARRATHA AERO,20/02/2011,5.2,0.0, ,32.7,26.9,93,68,4.02,21.77
KARRATHA AERO,21/02/2011,5.5,0.0, ,35.1,27.0,98,53,4.86,17.70
KARRATHA AERO,22/02/2011, ,29.6, ,28.3,25.1, , , ,3.17
KARRATHA AERO,23/02/2011,4.8,67.6, ,30.5,24.7,98,67,7.15,19.44
KARRATHA AERO,24/02/2011,5.7,2.2, ,31.2,25.5,90,61,3.10,25.56
KARRATHA AERO,25/02/2011, ,0.0, , ,23.3,95,60,5.63,26.31
KARRATHA AERO,26/02/2011,6.9, , ,34.4,26.2,88,60,6.01,26.58
KARRATHA AERO,27/02/2011,7.5,0.0, ,35.4,26.3,83,53,5.20,27.56
KARRATHA AERO,28/02/2011,7.7,14.0, ,35.1,25.8,85,54,6.01,28.75
Totals:,,143.9,348.8, ,,,,,, 
