'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JANDAKOT AERO Western Australia for June 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JANDAKOT AERO,01/06/2014, ,0.8, , ,9.9, , , ,9.00
JANDAKOT AERO,03/06/2014, , , , , , , , ,9.31
JANDAKOT AERO,04/06/2014, , , ,22.6, , , , ,11.84
JANDAKOT AERO,05/06/2014,3.0,0.0, ,24.7,6.8,96,29,3.13,11.88
JANDAKOT AERO,06/06/2014,3.3,0.0, ,23.9,4.2,93,24,3.53,12.03
JANDAKOT AERO,07/06/2014,2.8,0.0, ,20.5,6.9,85,37,4.38,7.70
JANDAKOT AERO,08/06/2014,2.2,0.0, ,20.2,10.5,96,37,3.13,4.67
JANDAKOT AERO,09/06/2014,2.5,2.4, ,22.6,14.4,97,37,3.25,9.77
JANDAKOT AERO,10/06/2014,1.7,23.8, ,16.7,14.8,99,63,4.92,8.25
JANDAKOT AERO,11/06/2014,1.2,0.0, ,17.2,2.2,100,59,1.69,10.42
JANDAKOT AERO,12/06/2014,1.5,0.2, ,18.1,3.8,100,47,1.83,10.81
JANDAKOT AERO,13/06/2014,1.4,0.0, ,17.4,1.5,98,46,1.58,11.42
JANDAKOT AERO,14/06/2014,1.4,0.0, ,17.6,1.0,100,43,1.52,11.74
JANDAKOT AERO,15/06/2014,1.6,0.0, ,19.8,0.1,100,41,1.63,11.65
JANDAKOT AERO,16/06/2014,2.8,0.0, ,21.3,0.4,98,28,3.33,11.48
JANDAKOT AERO,17/06/2014,3.2,0.0, ,17.9,4.8,96,36,7.92,2.54
JANDAKOT AERO,18/06/2014,2.4,35.2, ,18.0,10.9,97,37,4.49,9.89
JANDAKOT AERO,19/06/2014, ,12.4, , ,9.5,100,86,2.49,8.62
JANDAKOT AERO,20/06/2014, , , ,19.1, ,100,70,3.80,7.33
JANDAKOT AERO,21/06/2014,2.5,2.4, ,19.7,10.9,96,47,5.72,5.89
JANDAKOT AERO,22/06/2014,1.5,33.0, ,15.8,5.4,99,56,2.93,8.88
JANDAKOT AERO,23/06/2014,1.1,3.0, ,15.8,0.5,100,56,1.48,11.26
JANDAKOT AERO,24/06/2014,1.5,0.0, ,17.4,1.4,100,46,1.81,11.58
JANDAKOT AERO,25/06/2014,1.4,0.0, ,19.6,1.6,100,36,1.25,11.70
JANDAKOT AERO,26/06/2014,2.8,0.0, ,20.2,4.4,95,46,6.08,9.27
JANDAKOT AERO,27/06/2014,1.6,1.8, ,17.3,2.3,100,47,2.21,11.58
JANDAKOT AERO,28/06/2014,1.7,0.0, ,15.2,1.4,98,44,2.88,11.70
JANDAKOT AERO,29/06/2014,2.3,0.0, ,17.0,1.2,98,37,4.00,7.47
JANDAKOT AERO,30/06/2014,3.2,0.0, ,21.8,10.4,69,39,4.46,9.64
Totals:,,50.6,115, ,,,,,, 
