'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BROOME NTC Western Australia for June 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BROOME NTC,01/06/2014, , , , , , , , ,18.49
BROOME NTC,02/06/2014, , , , , , , , ,18.63
BROOME NTC,03/06/2014, , , ,31.3, ,24,14,4.51,18.14
BROOME NTC,04/06/2014,8.7, , ,29.7,21.6,23,15,6.86,18.73
BROOME NTC,05/06/2014,9.5, , ,29.1,20.3,25,16,8.44,18.41
BROOME NTC,06/06/2014,9.3, , ,29.0,20.9,24,16,8.09,18.46
BROOME NTC,07/06/2014, , , , ,21.9,23,16,8.27,18.39
BROOME NTC,08/06/2014, , , , , , , , ,18.45
BROOME NTC,09/06/2014, , , ,27.7, , , , ,18.86
BROOME NTC,10/06/2014,6.6, , ,26.9,17.4,30,17,5.16,18.34
BROOME NTC,11/06/2014,6.5, , ,28.4,18.3,29,16,4.55,18.26
BROOME NTC,12/06/2014,9.0, , ,25.7,18.4,29,19,10.01,18.28
BROOME NTC,13/06/2014,8.6, , ,24.2,15.7,34,21,11.29,18.66
BROOME NTC,14/06/2014,8.8, , ,25.8,16.2,33,19,10.39,18.41
BROOME NTC,15/06/2014, , , , ,16.4, , , ,18.95
BROOME NTC,16/06/2014, , , , , , , , ,18.85
BROOME NTC,17/06/2014, , , ,25.3, ,34,19,6.17,18.87
BROOME NTC,18/06/2014,4.8, , ,25.9,15.8,33,19,3.15,18.28
BROOME NTC,19/06/2014,5.3, , ,28.1,16.0,33,17,3.42,18.17
BROOME NTC,20/06/2014,6.8, , ,29.2,17.7,29,16,4.96,17.96
BROOME NTC,21/06/2014, , , , ,18.6, , , ,17.41
BROOME NTC,23/06/2014, , , , , , , , ,17.36
BROOME NTC,24/06/2014, , , ,26.8, , , , ,14.25
BROOME NTC,25/06/2014,7.5, , ,29.8,20.4,25,15,5.37,17.26
BROOME NTC,26/06/2014,6.9, , ,29.7,19.0,27,15,4.81,18.07
BROOME NTC,27/06/2014,5.5, , ,27.0,18.7,27,17,3.64,18.61
BROOME NTC,28/06/2014,7.1, , ,24.9,18.7,28,20,6.36,18.56
BROOME NTC,29/06/2014,3.8, , ,25.2,16.3,33,20,1.98,18.95
BROOME NTC,30/06/2014,4.5, , ,26.8,15.6,34,18,2.67,18.81
Totals:,,119.2, , ,,,,,, 
