,Station,Date,Transpiration,Rain,Evaporation,Max Temp,Min Temp,Max Hum,Min Hum,Av Wind,Solar Rad
0,JANDAKOT AERO,2009-01-01,10.6,0.0, ,36.8,18.4,77,21,5.86,34.01
1,JANDAKOT AERO,2009-01-02,9.6,0.0, ,35.3,21.0,80,28,5.29,34.26
2,JANDAKOT AERO,2009-01-03,9.2,0.0, ,35.1,18.9,81,28,4.78,33.84
3,JANDAKOT AERO,2009-01-04,9.7,0.0, ,35.1,17.9,71,20,4.8,34.02
4,JANDAKOT AERO,2009-01-05,10.6,0.0, ,35.7,21.6,73,16,5.61,34.18
5,JANDAKOT AERO,2009-01-06,9.5,0.0, ,36.1,17.8,80,30,5.13,33.86
6,JANDAKOT AERO,2009-01-07,10.8,0.0, ,36.4,18.8,64,22,5.99,33.95
7,JANDAKOT AERO,2009-01-08,10.1,0.0, ,36.3,18.5,65,25,5.2,34.0
8,JANDAKOT AERO,2009-01-09,11.0,0.0, ,37.3,19.4,66,16,5.35,34.43
9,JANDAKOT AERO,2009-01-10, ,0.0, ,34.4, ,65,20,4.87,34.3
10,JANDAKOT AERO,2009-01-11,10.7,0.0, ,38.1,20.9,67,14,4.61,34.28
11,JANDAKOT AERO,2009-01-12,6.1,0.0, ,27.5,12.7,93,48,5.36,28.8
12,JANDAKOT AERO,2009-01-13,6.7,0.0, ,26.6,8.8,89,26,4.06,32.39
13,JANDAKOT AERO,2009-01-14,8.3,0.0, ,31.3,14.4,73,25,5.02,31.13
14,JANDAKOT AERO,2009-01-15,12.2,0.0, ,39.7,18.7,61,15,6.15,33.44
15,JANDAKOT AERO,2009-01-16,13.4,0.0, ,42.3,23.5,75,8,6.61,33.37
16,JANDAKOT AERO,2009-01-17,6.6,0.0, ,31.3,17.3,79,35,3.92,24.25
17,JANDAKOT AERO,2009-01-18,5.9,0.0, ,33.1,20.7,100,40,4.85,18.23
18,JANDAKOT AERO,2009-01-19,7.6,0.0, ,29.6,16.6,98,32,5.8,32.25
19,JANDAKOT AERO,2009-01-20,8.1,0.0, ,28.9,14.9,81,24,5.2,33.35
20,JANDAKOT AERO,2009-01-21,6.6,0.0, ,26.6,15.1,84,45,4.97,32.66
21,JANDAKOT AERO,2009-01-22,6.0,0.0, ,27.9,18.3,93,50,4.53,28.2
22,JANDAKOT AERO,2009-01-23,6.6,0.0, ,28.4,19.9,87,47,4.57,30.19
23,JANDAKOT AERO,2009-01-24,7.5,0.0, ,31.0,11.6,96,24,3.51,33.08
24,JANDAKOT AERO,2009-01-25,10.0,0.0, ,39.0,17.8,79,21,4.44,32.72
25,JANDAKOT AERO,2009-01-26,6.8,0.0, ,29.8,16.6,96,43,3.91,32.2
26,JANDAKOT AERO,2009-01-27, ,0.0, ,33.5, ,81,34,4.77,25.97
27,JANDAKOT AERO,2009-01-28,5.6,0.0, ,30.3,21.2,76,50,4.55,18.75
28,JANDAKOT AERO,2009-01-29,4.8,0.0, ,26.9,18.7,81,48,4.72,15.79
29,JANDAKOT AERO,2009-01-30,6.1,0.0, ,31.9,16.4,89,41,3.71,23.63
30,JANDAKOT AERO,2009-01-31,7.9,0.0, ,35.5,20.9,74,34,4.6,25.79
31,JANDAKOT AERO,2009-02-01,7.6,0.0, ,35.7,21.9,85,41,3.63,29.86
32,JANDAKOT AERO,2009-02-02,8.2,0.0, ,37.3,20.8,93,33,3.65,30.86
33,JANDAKOT AERO,2009-02-03,6.9,0.0, ,32.0,18.7,97,40,3.5,30.86
34,JANDAKOT AERO,2009-02-04,8.2,0.0, ,31.7,17.8,83,31,5.64,30.79
35,JANDAKOT AERO,2009-02-05,8.7,0.0, ,31.2,14.7,68,27,6.43,30.41
36,JANDAKOT AERO,2009-02-06,7.4,0.0, ,26.4,15.0,72,33,6.86,30.11
37,JANDAKOT AERO,2009-02-07,6.6,0.0, ,26.8,8.5,85,30,4.62,30.21
38,JANDAKOT AERO,2009-02-08,10.5,0.0, ,33.3,14.9,54,13,6.65,30.82
39,JANDAKOT AERO,2009-02-09,11.0,0.0, ,34.9,17.5,58,12,6.61,31.36
40,JANDAKOT AERO,2009-02-10,10.7,0.0, ,37.2,19.9,55,14,5.73,29.76
41,JANDAKOT AERO,2009-02-11,10.9,0.0, ,39.2,23.4,41,10,4.83,30.66
42,JANDAKOT AERO,2009-02-12,10.9,0.0, ,38.6,19.3,57,9,5.9,24.33
43,JANDAKOT AERO,2009-02-13,6.9,0.0, ,29.9,21.0,67,40,6.17,19.98
44,JANDAKOT AERO,2009-02-14,5.3,0.2, ,28.7,18.4,77,29,5.66,6.89
45,JANDAKOT AERO,2009-02-15,6.4,0.0, ,31.1,13.7,91,37,3.4,28.71
46,JANDAKOT AERO,2009-02-16,5.9,0.0, ,27.5,15.7,97,37,4.31,26.82
47,JANDAKOT AERO,2009-02-17, ,0.0, ,31.3,14.8,82,30,5.27, 
48,JANDAKOT AERO,2009-02-18, ,0.0, ,32.2,17.1,63,17,5.77, 
49,JANDAKOT AERO,2009-02-19,8.7,0.0, ,33.1,16.6,59,23,5.0,29.53
50,JANDAKOT AERO,2009-02-20,9.6,0.0, ,36.7,18.4,60,16,4.82,29.58
51,JANDAKOT AERO,2009-02-21,10.7,0.0, ,40.4,23.2,63,13,5.58,25.39
52,JANDAKOT AERO,2009-02-22,8.1,0.0, ,31.2,19.7,66,29,5.59,28.11
53,JANDAKOT AERO,2009-02-23, ,0.0, ,34.0, ,64,26,5.69,26.67
54,JANDAKOT AERO,2009-02-24,4.4,0.0, ,25.0,15.6,86,47,3.6,19.53
55,JANDAKOT AERO,2009-02-25,3.2,0.0, ,21.9,13.0,95,55,4.85,12.61
56,JANDAKOT AERO,2009-02-26,4.6,15.2, ,23.7,7.5,95,38,3.3,23.91
57,JANDAKOT AERO,2009-02-27,6.8,0.0, ,29.1,12.0,82,27,4.51,27.90
58,JANDAKOT AERO,2009-02-28,8.7,0.0, ,36.3,15.1,78,23,5.36,24.89
59,JANDAKOT AERO,2009-03-01,6.2,0.0, ,33.0,20.7,87,46,5.34,20.76
60,JANDAKOT AERO,2009-03-02,5.7,0.0, ,23.8,18.2,86,41,7.72,23.18
61,JANDAKOT AERO,2009-03-03,6.0,0.0, ,26.6,4.0,87,18,3.64,27.12
62,JANDAKOT AERO,2009-03-04,8.3,0.0, ,30.4,12.4,59,15,5.41,27.81
63,JANDAKOT AERO,2009-03-05,8.5,0.0, ,33.5,14.2,60,11,4.39,28.28
64,JANDAKOT AERO,2009-03-06,8.6,0.0, ,34.4,14.4,65,12,4.48,27.55
65,JANDAKOT AERO,2009-03-07,8.2,0.0, ,31.8,17.0,64,18,5.25,27.09
66,JANDAKOT AERO,2009-03-08,7.8,0.0, ,34.3,15.8,60,15,3.97,25.67
67,JANDAKOT AERO,2009-03-09,7.6,0.0, ,35.2,12.9,72,12,3.44,26.61
68,JANDAKOT AERO,2009-03-10,7.4,0.0, ,37.7,14.8,70,12,2.86,26.43
69,JANDAKOT AERO,2009-03-11,5.8,0.0, ,30.6,11.1,78,25,3.44,20.66
70,JANDAKOT AERO,2009-03-12,4.8,0.0, ,26.9,18.4,77,47,4.05,18.74
71,JANDAKOT AERO,2009-03-13,6.4,0.0, ,28.3,11.3,81,27,4.69,25.45
72,JANDAKOT AERO,2009-03-14,8.2,0.0, ,31.5,13.9,55,23,5.98,24.90
73,JANDAKOT AERO,2009-03-15,8.0,0.0, ,38.4,17.2,100,16,4.60,20.70
74,JANDAKOT AERO,2009-03-16,6.1,0.0, ,31.7,16.7,100,30,3.73,24.85
75,JANDAKOT AERO,2009-03-17,4.3,0.0, ,24.7,16.9,88,51,5.69,16.79
76,JANDAKOT AERO,2009-03-18,4.9,1.4, ,24.3,12.6,94,34,4.54,23.30
77,JANDAKOT AERO,2009-03-19, , , ,25.2, , , , ,24.15
78,JANDAKOT AERO,2009-03-20, ,0.0, ,25.1,13.0,94,38,5.15, 
79,JANDAKOT AERO,2009-03-21, ,2.0, ,23.6,10.5,96,36,2.34, 
80,JANDAKOT AERO,2009-03-22, ,0.0, ,24.0,5.3,91,37,2.42, 
81,JANDAKOT AERO,2009-03-23,3.4,0.0, ,24.6,12.8,92,60,2.41,19.24
82,JANDAKOT AERO,2009-03-24,4.0,2.6, ,24.7,11.9,97,40,2.37,22.03
83,JANDAKOT AERO,2009-03-25,4.2,0.2, ,25.7,12.2,98,43,2.90,22.51
84,JANDAKOT AERO,2009-03-26,6.1,0.0, ,31.5,14.2,91,30,4.23,23.41
85,JANDAKOT AERO,2009-03-27, ,0.0, ,34.5,13.4,89,21,3.28, 
86,JANDAKOT AERO,2009-03-28, ,0.0, ,29.1,15.9,94,31,5.27, 
87,JANDAKOT AERO,2009-03-29, ,0.0, ,26.9,16.6,73,36,6.61, 
88,JANDAKOT AERO,2009-03-30,4.5,0.0, ,26.0,16.6,85,44,4.70,17.14
89,JANDAKOT AERO,2009-03-31,4.6,0.0, ,25.7,11.4,96,37,4.70,19.05
90,JANDAKOT AERO,2009-04-01,5.0,0.0, ,23.9,10.0,86,26,4.37,22.38
91,JANDAKOT AERO,2009-04-02,5.0,0.0, ,25.4,8.5,82,29,4.08,22.34
92,JANDAKOT AERO,2009-04-03,6.0,0.0, ,28.0,13.1,76,26,5.2,20.54
93,JANDAKOT AERO,2009-04-04,6.5,0.0, ,29.7,14.0,65,21,4.8,21.99
94,JANDAKOT AERO,2009-04-05,6.7,0.0, ,28.1,14.3,70,24,6.02,22.02
95,JANDAKOT AERO,2009-04-06,7.2,0.0, ,29.4,15.4,61,18,5.58,22.23
96,JANDAKOT AERO,2009-04-07,6.8,0.0, ,31.7,14.4,55,18,4.26,21.89
97,JANDAKOT AERO,2009-04-08,6.4,0.0, ,34.0,11.7,58,15,3.52,20.39
98,JANDAKOT AERO,2009-04-09,6.6,0.0, ,33.9,14.4,62,16,3.86,20.77
99,JANDAKOT AERO,2009-04-10,7.0,0.0, ,35.0,16.3,69,15,4.15,20.68
100,JANDAKOT AERO,2009-04-11,4.0,0.0, ,28.7,12.2,87,39,2.42,19.46
101,JANDAKOT AERO,2009-04-12,9.8,0.0, ,34.7,14.4,73,5,7.29,20.32
102,JANDAKOT AERO,2009-04-13,3.8,0.0, ,24.5,21.3,92,36,5.49,8.56
103,JANDAKOT AERO,2009-04-14,4.5,4.2, ,28.1,16.2,82,35,3.7,16.97
104,JANDAKOT AERO,2009-04-15,5.0,0.0, ,26.2,13.1,73,34,4.74,18.87
105,JANDAKOT AERO,2009-04-16,4.5,0.0, ,27.4,12.5,87,37,3.93,19.26
106,JANDAKOT AERO,2009-04-17,4.2,0.0, ,29.5,12.3,89,39,3.28,17.81
107,JANDAKOT AERO,2009-04-18,3.6,0.0, ,28.0,16.1,73,38,2.99,10.47
108,JANDAKOT AERO,2009-04-19,3.9,0.0, ,29.2,13.4,94,40,2.59,18.98
109,JANDAKOT AERO,2009-04-20,3.4,0.0, ,27.5,11.5,99,50,2.43,18.94
110,JANDAKOT AERO,2009-04-21,4.5,0.0, ,30.6,11.2,92,30,3.09,18.72
111,JANDAKOT AERO,2009-04-22,3.5,0.0, ,21.1,10.0,96,35,4.95,14.06
112,JANDAKOT AERO,2009-04-23,2.9,0.2, ,21.7,3.5,88,39,2.69,15.37
113,JANDAKOT AERO,2009-04-24,2.6,0.0, ,23.3,10.3,96,52,2.36,14.65
