,Station,Date,Transpiration,Rain,Evaporation,Max Temp,Min Temp,Max Hum,Min Hum,Av Wind,Solar Rad
0,ARGYLE AERODROME,2009-01-01,7.7,1.6, ,37.8,25.4,90,29,3.04,27.8
1,ARGYLE AERODROME,2009-01-02,5.6,0.4, ,36.5,24.6,100,40,3.26,17.82
2,ARGYLE AERODROME,2009-01-03,6.0,0.4, ,37.5,24.2,100,98,3.0,29.5
3,ARGYLE AERODROME,2009-01-04,7.5,0.2, ,38.2,25.8,100,30,2.2,29.97
4,ARGYLE AERODROME,2009-01-05,7.6,0.0, ,38.5,27.7,93,30,3.85,23.85
5,ARGYLE AERODROME,2009-01-06,6.9,3.4, ,37.7,23.3,93,33,1.96,28.41
6,ARGYLE AERODROME,2009-01-07,8.5,0.0, ,39.5,23.7,90,29,3.55,29.66
7,ARGYLE AERODROME,2009-01-08,8.5,0.0, ,39.2,25.9,77,29,3.03,30.73
8,ARGYLE AERODROME,2009-01-09,7.0,0.2, ,38.6,26.8,78,30,1.93,26.52
9,ARGYLE AERODROME,2009-01-10,7.6,0.0, ,38.6,26.8,84,30,3.17,25.48
10,ARGYLE AERODROME,2009-01-11,7.8,14.2, ,39.0,25.5,87,31,2.48,29.8
11,ARGYLE AERODROME,2009-01-12,8.4,0.0, ,40.0,27.3,89,24,2.71,30.79
12,ARGYLE AERODROME,2009-01-13,7.9,0.8, ,39.3,25.5,85,31,2.29,30.71
13,ARGYLE AERODROME,2009-01-14,6.6,0.0, ,35.3,28.6,91,46,3.67,23.46
14,ARGYLE AERODROME,2009-01-15,7.4,5.0, ,38.5,23.8,93,27,2.35,28.59
15,ARGYLE AERODROME,2009-01-16,4.9,9.0, ,33.6,23.3,96,55,2.52,19.22
16,ARGYLE AERODROME,2009-01-17,4.0,5.4, ,30.8,24.4,98,69,1.64,17.76
17,ARGYLE AERODROME,2009-01-18,4.9,17.2, ,33.5,23.8,99,54,2.01,20.24
18,ARGYLE AERODROME,2009-01-19,6.0,3.2, ,35.0,25.3,96,48,2.51,24.08
